Date,Customer_ID,Customer_first_name,Customer_last_name,email,phone_number,Order_ID,Product_ID,Product_Category,Quantity_Sold,Price_per_Unit,Discount,City
2024-05-04,1843,Francisco,Oneal,lclements@example.net,6319067035,1,442,Books,3,1226.18,58.64,San Jose
2024-05-05,1826,Jeffrey,Burch,phunt@example.org,3277462640,2,157,Groceries,1,240.79,13.78,Los Angeles
2024-02-01,1996,Richard,Morgan,daltonramirez@example.net,9976898419,3,306,Beauty,5,356.41,39.26,Houston
2024-04-23,1494,Rachel,Jones,amy53@example.com,8536297869,4,340,Clothing,6,1353.85,7.57,San Diego
2023-11-16,1274,Nathaniel,Hines,linda22@example.com,7938621104,5,192,Sports,6,217.17,65.85,San Antonio
2023-11-04,1991,Chad,Cook,tompineda@example.net,6602305375,6,189,Toys,4,778.36,77.31,Dallas
2024-07-05,1099,Christopher,Jones,shuynh@example.com,2599359010,7,216,Toys,5,283.36,29.06,San Diego
2023-12-28,1975,Tonya,Sanford,robinallen@example.net,1107577402,8,457,Toys,1,350.22,6.97,Phoenix
2024-08-25,1288,Edward,Butler,thernandez@example.org,2076498085,9,338,Books,4,1296.16,4.19,Phoenix
2024-06-29,1450,Laura,Nguyen,marymarshall@example.com,8010782177,10,269,Groceries,1,301.86,62.27,San Antonio
2024-06-06,1944,Stacy,Rocha,jcherry@example.net,7767193128,11,325,Toys,6,1058.25,76.91,San Jose
2023-10-16,1875,Carlos,Navarro,medinakathryn@example.com,1860629026,12,284,Groceries,9,527.48,15.15,New York
2024-08-26,1538,Laurie,Morales,ashleyphillips@example.org,8186134239,13,462,Groceries,2,260.11,12.27,Houston
2024-09-26,1070,Gabriela,Wood,austinpamela@example.net,5193159790,14,365,Sports,9,548.1,12.99,Los Angeles
2024-04-16,1926,Carlos,Howard,jacksonbrandon@example.org,9732732000,15,378,Furniture,8,1495.63,29.99,Chicago
2024-03-18,1844,Denise,Moore,gbarr@example.org,1687125312,16,287,Sports,9,540.96,89.63,San Jose
2023-11-19,1921,George,Martin,jordanmoore@example.com,4930847994,17,436,Beauty,3,376.06,8.35,Dallas
2023-11-12,1734,Bianca,Richards,njordan@example.com,8957032337,18,481,Clothing,3,491.76,10.39,San Jose
2024-07-30,1051,Justin,Ray,xanderson@example.org,1110021148,19,317,Groceries,6,87.59,5.6,Houston
2024-02-16,1296,Daniel,Colon,alyssa72@example.com,6944785421,20,127,Electronics,1,1050.97,61.83,Dallas
2024-03-04,1731,Sarah,Lewis,taustin@example.org,5381106611,21,324,Toys,8,641.17,4.18,San Jose
2024-09-15,1902,Renee,Garcia,karajones@example.org,5294727989,22,461,Books,3,1463.85,28.96,New York
2023-10-11,1742,Tina,Sandoval,nancy22@example.net,9211630058,23,383,Electronics,5,1041.36,26.07,Dallas
2023-10-12,1647,Chelsea,Welch,mannmonica@example.com,0105307885,24,242,Furniture,7,876.39,80.56,Philadelphia
2023-12-11,1600,Robert,Myers,olawson@example.net,4585170175,25,384,Toys,6,696.23,8.83,San Jose
2024-07-21,1486,Destiny,Holt,bryan61@example.com,0972017506,26,176,Furniture,4,242.18,81.34,Los Angeles
2024-07-20,1383,Craig,Stewart,parkeramy@example.net,3228245450,27,196,Toys,5,483.21,28.45,Philadelphia
2024-01-18,1770,John,Garcia,lyonslisa@example.com,1092847240,28,208,Sports,2,578.9,18.76,San Antonio
2024-08-12,1653,Debbie,Serrano,joshua11@example.net,4950049594,29,273,Furniture,3,71.87,84.46,Chicago
2023-10-08,1005,Whitney,Smith,petersjanice@example.net,7591102216,30,303,Electronics,3,1137.0,30.74,Phoenix
2024-02-08,1616,Melanie,Walker,barbernicholas@example.org,3899204186,31,465,Groceries,6,208.68,88.25,Philadelphia
2023-09-28,1518,Stephanie,Mcdowell,tyrone84@example.org,9485093046,32,238,Books,4,758.58,40.31,Houston
2024-08-09,1026,Steven,Torres,emacdonald@example.com,1461382048,33,345,Furniture,3,1318.51,28.38,Chicago
2023-12-07,1044,Donald,Harmon,eaguilar@example.net,5988067865,34,161,Groceries,7,1356.18,89.54,Philadelphia
2024-05-04,1733,Michele,Mercer,davismadison@example.org,9701817908,35,476,Books,6,1274.18,3.42,Philadelphia
2024-02-12,1831,Christopher,Dillon,lopezsuzanne@example.net,7391763919,36,487,Groceries,3,49.31,23.36,San Diego
2024-08-16,1939,Gabriel,Morris,susan65@example.org,2688454605,37,495,Groceries,8,323.01,78.43,Phoenix
2024-05-22,1702,Whitney,Goodwin,mark51@example.net,2838104297,38,495,Furniture,9,1159.87,71.85,Phoenix
2024-06-09,1514,Janet,Booker,wallen@example.com,8816875450,39,449,Toys,8,1107.97,33.32,Phoenix
2023-11-19,1537,Chad,Moses,amays@example.org,0858514435,40,307,Electronics,8,1133.93,68.97,Phoenix
2024-05-03,1718,Nathan,Pierce,benjamin08@example.com,1125028147,41,413,Groceries,2,1152.18,54.3,Dallas
2024-06-26,1232,Joseph,Harris,mowen@example.net,2943744854,42,312,Toys,4,894.23,17.22,San Jose
2023-12-25,1600,Steven,Le,awilliams@example.net,4013848041,43,322,Sports,6,28.63,51.94,Phoenix
2024-02-02,1813,Keith,Mcintyre,ruthallen@example.org,1209234022,44,409,Clothing,8,325.96,54.89,Houston
2024-04-17,1932,Alexander,Duncan,ktran@example.com,4024053943,45,309,Toys,3,1014.19,31.81,Dallas
2024-07-30,1905,Adam,Mitchell,melissa49@example.org,4106054983,46,368,Electronics,7,120.07,18.48,Dallas
2024-04-08,1988,Kelly,Torres,mahoneykimberly@example.com,0282204009,47,490,Groceries,9,549.79,37.64,Chicago
2024-08-14,1711,Sergio,Murphy,rwoods@example.com,7406068273,48,133,Furniture,5,1196.56,57.36,Houston
2024-02-09,1963,Steven,Smith,yschneider@example.org,6997946353,49,308,Sports,1,20.0,18.78,San Jose
2023-10-22,1054,Ray,Jones,mary29@example.com,7053826674,50,434,Toys,2,164.54,68.37,Houston
2024-01-09,1005,Jessica,Wolfe,russellamanda@example.org,7168212589,51,186,Books,3,670.79,21.79,San Jose
2024-09-02,1752,Kenneth,Wilson,richardssarah@example.net,1951029197,52,270,Electronics,5,1362.14,18.71,Los Angeles
2024-06-08,1594,David,Cooper,fromero@example.org,4237829991,53,148,Furniture,5,990.69,23.73,Philadelphia
2024-01-14,1530,Brittany,Mills,gmadden@example.net,9229892977,54,121,Groceries,4,548.98,62.11,Philadelphia
2024-04-11,1008,Stanley,Roth,valeriecisneros@example.org,1389824244,55,408,Books,3,811.43,9.98,Dallas
2023-12-08,1147,Lance,Wade,zjohnson@example.com,1675280840,56,227,Books,1,75.27,84.81,Los Angeles
2023-12-31,1601,Nathan,Hall,pamela95@example.org,0039096797,57,193,Beauty,3,372.41,10.13,New York
2024-02-10,1056,Terri,Shea,lisaharrell@example.com,5781098564,58,325,Sports,3,443.6,40.5,Dallas
2024-09-05,1412,Aaron,Mccoy,ljackson@example.org,2923262857,59,373,Groceries,6,1257.64,13.95,New York
2024-05-11,1128,Theresa,Wells,lorihughes@example.org,5503311330,60,264,Clothing,6,1147.23,27.77,Chicago
2024-09-02,1412,Tiffany,Flores,ecastro@example.com,5498183488,61,298,Furniture,1,1127.53,81.93,San Diego
2024-02-24,1715,Lisa,Hendrix,dwashington@example.net,0901953697,62,485,Furniture,9,490.77,68.08,San Jose
2023-10-23,1409,Mark,Sullivan,denisegonzales@example.org,0054495525,63,319,Sports,5,36.55,40.76,San Antonio
2023-12-30,1494,Jon,Malone,pruittjohn@example.net,7097202087,64,421,Electronics,9,191.07,11.64,Phoenix
2024-06-04,1501,Tanya,Morgan,kristen15@example.net,4281701937,65,112,Furniture,4,913.99,80.32,Houston
2024-05-16,1098,Brianna,Osborne,cindythomas@example.org,8313161317,66,181,Furniture,3,1051.74,19.4,Phoenix
2024-08-09,1156,James,Taylor,nelsonronald@example.net,9759311518,67,346,Toys,8,47.1,77.87,Dallas
2023-12-12,1092,Jack,Kim,johnsonwendy@example.com,5622897580,68,348,Furniture,9,1377.13,1.24,Phoenix
2024-05-03,1765,Jeffrey,Roberson,nicholas67@example.com,8794558130,69,245,Books,2,168.44,45.06,Phoenix
2024-08-01,1734,Jessica,Roberts,smithbrenda@example.com,2761504318,70,352,Sports,6,367.46,37.51,San Diego
2024-01-06,1283,Tina,Carney,rmartin@example.org,9231562224,71,482,Books,7,1421.36,10.68,Philadelphia
2023-11-15,1948,David,Carrillo,billy05@example.com,8617174916,72,191,Furniture,6,1011.03,58.81,Houston
2024-03-31,1168,Amber,Williams,wflowers@example.org,3182934540,73,160,Beauty,8,1067.17,11.0,Houston
2024-02-14,1280,Paul,Martin,lpollard@example.org,8326199560,74,122,Toys,6,446.18,32.15,Phoenix
2024-04-02,1553,Ryan,Ellis,mmoody@example.org,7696620705,75,145,Clothing,8,774.24,86.06,Dallas
2024-05-25,1729,Gloria,Mcclure,rhondamorton@example.org,1464771363,76,271,Furniture,5,982.98,56.73,Los Angeles
2024-01-09,1547,Jimmy,Park,yvelasquez@example.com,4997790100,77,352,Groceries,3,342.34,15.57,New York
2024-04-18,1297,Norman,Robertson,dalton29@example.com,8399325413,78,283,Furniture,4,83.17,60.01,San Antonio
2024-08-23,1842,Danielle,Rios,santiagoshannon@example.net,0214680651,79,446,Furniture,3,1322.99,13.2,New York
2024-04-20,1250,Kevin,Williams,keithevans@example.com,7082831417,80,309,Electronics,7,1211.4,32.87,San Jose
2024-07-28,1105,Stephen,Martinez,pwilson@example.org,4255699755,81,343,Furniture,7,1305.38,35.1,Dallas
2024-09-05,1986,Donald,Eaton,debrarodriguez@example.com,2715695805,82,461,Groceries,8,259.35,10.35,New York
2024-09-04,1818,Christopher,Davis,llawson@example.com,5944290119,83,194,Books,5,1008.46,74.7,San Jose
2024-06-16,1926,Daniel,Novak,deborahdennis@example.net,8491997653,84,353,Beauty,8,110.42,8.6,Los Angeles
2024-04-01,1135,Joseph,Herrera,gary60@example.org,6213990572,85,274,Furniture,2,855.53,6.7,Phoenix
2024-02-05,1707,Carl,Stevens,jamieortiz@example.org,3185118963,86,414,Toys,1,1196.43,60.16,Phoenix
2024-06-04,1886,Jessica,Garza,mdavis@example.net,6312107380,87,241,Groceries,5,392.21,59.18,Philadelphia
2024-01-23,1467,Karen,Vasquez,tsmith@example.org,2913684046,88,324,Toys,3,1223.24,43.28,Phoenix
2024-05-08,1186,Jamie,Cross,holly12@example.net,6924385731,89,405,Clothing,4,1022.0,75.99,San Antonio
2024-03-03,1223,Tammy,Glenn,andres02@example.com,3485441748,90,168,Toys,6,997.03,66.84,Dallas
2024-09-25,1480,April,Trevino,gallen@example.net,2720253838,91,170,Sports,9,934.89,82.6,San Diego
2023-10-25,1550,Alan,Walsh,ggonzalez@example.org,7970642689,92,278,Beauty,8,60.9,71.4,Philadelphia
2024-01-26,1901,Paula,Burke,jonesandrea@example.org,2725470378,93,454,Clothing,1,425.85,3.3,New York
2023-09-30,1122,Brian,Torres,ojones@example.net,3795858345,94,321,Beauty,3,443.39,63.84,Phoenix
2024-04-11,1177,Michael,Hickman,anthonyjones@example.org,2090511637,95,326,Electronics,3,225.93,18.73,Chicago
2024-01-02,1181,Alexandria,Herman,gedwards@example.com,9802750159,96,338,Sports,6,1061.06,28.95,San Diego
2023-11-03,1414,Andrew,Fisher,potteredward@example.com,8260689738,97,268,Books,2,147.9,75.0,San Jose
2023-12-09,1376,Leslie,Pace,christopher59@example.org,0412425537,98,231,Books,6,1408.76,21.11,Dallas
2024-09-26,1693,Erik,Morris,rebeccajenkins@example.org,4773083872,99,164,Beauty,5,1032.83,42.19,Phoenix
2024-05-03,1191,Dawn,Tyler,jenniferlevy@example.net,2325537034,100,385,Clothing,1,985.14,20.11,Phoenix
2023-10-07,1774,Kimberly,Russell,powellwilliam@example.org,4185756561,101,222,Furniture,8,700.3,50.5,San Diego
2024-02-15,1233,Patrick,Austin,scottbailey@example.com,2623736103,102,325,Electronics,1,1007.34,13.1,New York
2024-09-24,1716,Benjamin,Thompson,owenpatricia@example.com,0087719514,103,396,Books,6,1322.97,47.16,Dallas
2024-05-03,1180,David,Lopez,collinscrystal@example.net,4878277987,104,173,Furniture,1,1375.08,38.13,Chicago
2023-09-29,1457,David,Park,bdonovan@example.net,1792591551,105,242,Furniture,3,1191.09,87.65,Houston
2024-03-26,1764,Jonathan,Gomez,georgecohen@example.org,0686205745,106,385,Toys,9,187.37,4.08,Los Angeles
2024-07-14,1441,Joseph,Williams,erinmoore@example.net,2653370992,107,214,Toys,3,1445.37,15.33,Dallas
2024-09-17,1981,Daniel,Sutton,williamfarmer@example.com,2172711426,108,443,Electronics,1,236.53,28.8,San Antonio
2024-01-09,1381,Jo,Cook,nancypatton@example.net,4487649136,109,296,Sports,8,134.05,36.22,Houston
2023-12-21,1356,Nicholas,Hurst,marshstephen@example.org,9796707523,110,496,Sports,2,235.73,49.55,Houston
2023-11-17,1836,Christina,Daniels,andersonmeghan@example.com,1503874703,111,347,Furniture,7,1198.89,87.55,San Jose
2024-03-14,1501,Bradley,Meyer,justingalloway@example.com,7752834535,112,437,Furniture,4,980.37,68.93,New York
2024-02-29,1864,Heather,Martinez,stephen20@example.com,5459401397,113,208,Toys,3,1259.65,75.36,San Antonio
2023-10-16,1747,Paul,Lam,wagnerantonio@example.com,5311832678,114,149,Clothing,8,451.17,70.26,Phoenix
